cm,%
649.8934000000002,99.32600000000001
650.8576,99.23264
651.8218,99.14472
652.7861,99.06854
653.7503000000002,99.00202000000002
654.7145,98.92380000000001
655.6788,98.85538
656.6430000000001,98.79654000000001
657.6072,98.74212
658.5715,98.69248000000002
659.5357,98.65452
660.4999,98.63156000000001
661.4642000000001,98.61108000000002
662.4284,98.56196
663.3926000000001,98.44414
664.3569000000001,98.21662
665.3211,97.83964
666.2853,97.29026
667.2496,96.62704000000001
668.2138,96.07364000000001
669.178,95.88042
670.1423,96.01950000000001
671.1065000000001,96.2729
672.0707,96.49502
673.035,96.64896000000002
673.9992,96.74572
674.9634000000001,96.80834
675.9277,96.86032
676.8919,96.92518000000001
677.8561000000001,97.02564000000001
678.8204000000001,97.18042
679.7846,97.39818
680.7488,97.67188
681.7131,97.97796000000001
682.6773000000001,98.28684
683.6415,98.57790000000001
684.6058,98.84852
685.57,99.10784000000001
686.5342,99.35962
687.4985000000001,99.58928
688.4627,99.7632
689.4269000000002,99.84192
690.3912000000001,99.80144
691.3554,99.6633
692.3196,99.52164
693.2839,99.51918
694.2481,99.73670000000001
695.2123,100.11312000000001
696.1766,100.51672000000002
697.1408000000001,100.8456
698.105,101.06020000000001
699.0693,101.16700000000002
700.0335,101.2034
700.9977000000001,101.20840000000001
701.962,101.21360000000001
702.9262,101.23
703.8904000000001,101.25800000000001
704.8547000000001,101.2964
705.8189,101.3407
706.7831,101.38340000000001
707.7474,101.4118
708.7116000000001,101.4158
709.6758,101.39362
710.6401,101.35510000000001
711.6043000000001,101.31376000000002
712.5685,101.27876000000002
713.5328,101.24450000000002
714.497,101.19306
715.4612,101.37548000000001
716.4255000000002,101.21294
717.3897,101.01208
718.3539000000001,100.80314000000001
719.3182,100.62404000000001
720.2824,100.50262000000001
721.2466,100.44838
722.2109,100.44654
723.1751000000002,100.47044000000001
724.1393,100.50858000000001
725.1036,100.54460000000002
726.0678,100.55890000000002
727.0320000000002,100.56008000000001
727.9963,100.5613
728.9605,100.5822
729.9247000000001,100.6349
730.8890000000001,100.72318
731.8532,100.83856000000002
732.8174,100.9662
733.7817,101.08670000000001
734.7459000000001,101.18132
735.7101,101.23752
736.6744,101.2452
737.6386000000001,101.20000000000002
738.6028,101.1088
739.5671,100.9879
740.5313,100.8599
741.4955,100.74988
742.4598000000001,100.67334
743.424,100.63246000000001
744.3882000000001,100.6181
745.3525000000001,100.61340000000001
746.3167,100.60416000000001
747.2809,100.58246
748.2452,100.54416
749.2094,100.49126
750.1736,100.42396
751.1379,100.34700000000001
752.1021000000001,100.26520000000001
753.0663,100.183
754.0306,100.10566000000001
754.9948,100.03618
755.9590000000001,99.97166
756.9233000000002,99.90658
757.8875,99.83816
758.8517,99.7671
759.816,99.70098000000002
760.7802000000001,99.65111999999999
761.7444,99.62640000000002
762.7087,99.62736000000001
763.6729000000001,99.64384000000001
764.6371,99.65990000000001
765.6014,99.66176
766.5656,99.64562
767.5298,99.61838
768.4941000000001,99.59212000000002
769.4583,99.5754
770.4225000000001,99.56788
771.3868000000001,99.56212000000001
772.351,99.54904
773.3152000000001,99.52236
774.2795000000001,99.47940000000001
775.2437,99.41856000000001
776.2079,99.33760000000001
777.1722,99.23546000000002
778.1364000000001,99.11642
779.1006,98.99170000000001
780.0649,98.87528
781.0291000000001,98.77644000000001
781.9933000000001,98.69462000000001
782.9576,98.62068
783.9218,98.54388000000002
784.8860000000001,98.46024
785.8503000000001,98.37404000000001
786.8145,98.29418000000001
787.7787000000001,98.22696000000002
788.743,98.17120000000001
789.7072000000001,98.11924000000002
790.6714,98.06120000000001
791.6357,97.98940000000002
792.5999000000002,97.90102
793.5641,97.79806
794.5284000000001,97.686
795.4926,97.57116
796.4568000000002,97.45866000000001
797.4211000000001,97.34984
798.3853,97.24168
799.3495000000001,97.12866000000001
800.3138000000001,97.0061
801.278,96.8726
802.2422,96.72884
803.2065,96.57468000000001
804.1707000000001,96.4063
805.1349,96.217
806.0992,96.00202
807.0634000000001,95.76378000000001
808.0276000000001,95.51241999999999
808.9919,95.26164
809.9561,95.0211
810.9203000000001,94.79218
811.8846000000001,94.5692
812.8488,94.34577999999999
813.8130000000001,94.12176000000001
814.7773000000001,93.9053
815.7415000000001,93.70964000000001
816.7057,93.54586
817.67,93.41792000000001
818.6342000000001,93.32158000000001
819.5984,93.24852000000001
820.5627,93.19132
821.5269000000001,93.14642
822.4911,93.1139
823.4554000000002,93.09344
824.4196,93.08126
825.3839,93.06976
826.3481000000002,93.04972000000001
827.3123,93.01422
828.2766000000001,92.96056
829.2408,92.88848
830.2050000000002,92.79706
831.1693000000001,92.68176
832.1335,92.53424000000001
833.0977000000001,92.3458
834.0620000000001,92.11104
835.0262,91.83010000000002
835.9904,91.50872000000001
836.9547,91.15544
837.9189000000001,90.7793
838.8831,90.3886
839.8474,89.99108000000001
840.8116000000001,89.59436
841.7758000000001,89.20648
842.7401,88.83594000000001
843.7043,88.4912
844.6685000000001,88.18006
845.6328000000001,87.90852
846.597,87.6793
847.5612000000001,87.49136
848.5255000000001,87.34024
849.4897000000001,87.22022000000001
850.4539,87.1264
851.4182,87.05626000000001
852.3824000000001,87.00890000000001
853.3466,86.9826
854.3109,86.97358
855.2751000000001,86.97608
856.2393,86.98478
857.2036000000002,86.99692
858.1678,87.01366000000002
859.1320000000001,87.03900000000002
860.0963000000002,87.07762
861.0605,87.1334
862.0247,87.20952000000001
862.989,87.30994
863.9532000000002,87.43976
864.9174,87.60454000000001
865.8817,87.80736000000002
866.8459000000001,88.04712
867.8101000000001,88.31898
868.7744,88.61688000000001
869.7386,88.9363
870.7028000000001,89.27396
871.6671000000001,89.62354
872.6313,89.97176
873.5955000000001,90.29756000000002
874.5598000000001,90.57868
875.5240000000001,90.8015
876.4882,90.96864
877.4525,91.09796
878.4167000000001,91.21262
879.3809,91.32876
880.3452,91.44868
881.3094000000001,91.56318
882.2736,91.66144
883.2379000000001,91.73892000000001
884.2021,91.79894
885.1663000000001,91.84694
886.1306000000001,91.88364000000001
887.0948,91.90384
888.0590000000001,91.90104000000001
